" ","StudentComments","Rating","totalwords","Sentiment"
"40","very good teacher","4.96","3","positive"
"41","very understanding and helping. stresses on understaning the theories and suggests students to ask for help whenever needed.","5","18","positive"
"42","mohiuddin, md. sir is very good for us. his teaching stragey is very effective for the students.","3.75","17","positive"
"43","actually,to meet the accounting subject easily & perfect way, he is the nice teacher.","3.88","14","positive"
"44","all in all mohiuddin sir'is simply the best.teacher.for this sujbect. thank u yanbu. 04-05002-2","3.83","14","positive"
"45","has good teaching ability and well performance in inside classroom.","4","10","positive"
"46","he is the perfect teacher for the deparment of accounting.his behaviour & system of teaching make us easy to learn the lesson.","4.46","22","positive"
"47","he is a good teacher.his teaching mathod is better.always tries to teaching us a easy way.","4.32","16","positive"
"48","he is a nice teather with good behaviour.","3.7","8","positive"
"49","he is a very good teacher.","5","6","positive"
"50","he is careful and helpful teacher.","4.46","6","positive"
"51","he is one of the best faculty in aiub. his attitude inspire me all time. i like him too much.","4.21","20","positive"
"52","he is the best","5","4","positive"
"53","i think he is a good teacher","3.46","7","neutral"
"54","mohiuddin sir is nice teacher.","4.79","5","positive"
"55","overall he is a very free,gentle and good teacher. i feel very comfortable in his class because i can understand his lecture easily.","4.54","23","positive"
"56","perfect teacher.","4.28","2","positive"
"57","realy he is a good teacher. so i have no comments about him.","4.46","13","positive"
"58","simply he is a best teacher for accounting.always he is trying to teach us the best of our subject.","4.38","19","positive"
"59","very good teacher","4.92","3","positive"
"60","very good teacher and friendly","4.6","5","positive"
"61","we are happy for sir's grading system","5","7","positive"
"62","well-behaved and friendly.","3.79","3","positive"
"63","he clearly discuss about the lecture and helps his students who are weak.he is friendly and co-operative.","4.63","17","positive"
"64","he is a good instructer","4.79","5","positive"
"65","he is a good teacher","4.75","5","positive"
"66","he is a nice teacher and very much co-operative with student.","4.83","11","positive"
"67","he is a nice teacher,but strict.","4.36","6","positive"
"68","he is friendly and very co-operative.he's way of making us understand is good.","4.63","13","positive"
"69","he is good.","4.96","3","positive"
"70","he is great.","4.91","3","positive"
"71","he is quite a good person.always try to give his student correct ideas.","4.67","13","positive"
"72","he is so well","4.49","4","positive"
"73","he is the very good teacher and his teaching method was also good.when he teach his student then he seems to be so knowledgful which is exception. i am very happy to meet with such kind of teacher.","4.67","38","positive"
"74","he is very good teacher . i like him very much and i think he like me very much.","5","19","positive"
"75","better","3.38","1","neutral"
"76","excellent teacher","4","2","positive"
"77","great teacher","5","2","positive"
"78","he his excelent","3.54","3","positive"
"79","he is a motivating teacher, and makes learning accounting easier. and his grading system is also fair and appreciatable.","4.71","19","positive"
"80","he is a nice teacher.","4.17","5","positive"
"81","he is good","4.74","3","positive"
"82","he is good. his teaching method good.","3.83","7","positive"
"83","he is good.he has a good personality.his teaching style is outstandig.","4.67","11","positive"
"84","he is very obedient to the student.he is very friendly and also smiling face.he is very helpful.his accounting process is very easy to us.when student not understand he didnt go another chapter which is ver good.when we face any problem then he solve it very clearly.he is very honest to his grade.i like his honesty.","4.21","55","positive"
"85","he is very sincere and responsible. i respect him very much.","4.5","11","positive"
"86","he teaches us very well.he always tried how we can learn well.he has a good behaviour to.that's why we like him.","4.38","21","positive"
"87","i m not clear about no. 14 que.","3.46","8","neutral"
"88","i think he is one of the best teacher in aiub.","5","11","positive"
"89","nice teacher","4.85","2","positive"
"90","no complaints","4.67","2","positive"
"91","sir is the best","5","4","positive"
"92","sir is too good.","5","4","positive"
"93","sir really is a very good teacher","5","7","positive"
"94","very good","5","2","positive"
"95","very good","3.49","2","neutral"
"96","very good teacher.","4.5","3","positive"
"97","he is a good teacher.","3.71","5","positive"
"98","he is a good teacher.","3.26","5","neutral"
"99","he is a good teature","4.79","5","positive"
"100","he is a nice teacher.","4.83","5","positive"
"101","he is one of the best teacher of aiub. i am really happy about his class conducting.","4.58","17","positive"
"102","he is perfect for us.","5","5","positive"
"103","he is very good sir. i enjoy his personality","3.38","9","neutral"
"104","he know much about the subject.he try his best to pass that tous","4.42","13","positive"
"105","he's too good,generous,freidly,reguler,expressive.he's simply the best.i admire him","4.67","8","positive"
"106","heis very helpfull and cares for students","4.04","7","positive"
"107","his helpfull manner always influence us to study. we want his class more.","4","13","positive"
"108","his teaching method is well. i can teach many things in his class.","3.13","13","neutral"
"109","i think he is a very good teacher.","4.83","8","positive"
"110","quite good teacher. but as an accounting teacher should give much more preference on the quize or exam not in the assignment. coz there is a possibilities to chet in the assignment.","2.88","32","negative"
"111","sir is very good.every understand meaning his lecture.","5","8","positive"
"112","the way he delivers speech i enjoyed a lot.","4.83","9","positive"
"113","as a teacher he has an allrounder performance on classroom activities.","4.58","11","positive"
"114","has a very strong personality & he has each & every quality of a good teacher.","5","16","positive"
"115","he is a good teacher at all.","3.71","7","positive"
"116","he is a nice accounting faculty, we want more bonus marks from him.","4.46","13","positive"
"117","he is a very good teacher.","3.54","6","positive"
"118","he is good & helpful","3.83","5","positive"
"119","he is very friendly.","5","4","positive"
"120","he is very good teacher for us","4.63","7","positive"
"121","he is very good teacher. his teaching is very good.","5","10","positive"
"122","he's a good lecturer.he explains well.he is very much co-operating with us.the way he teaches presently is just alright for the students.he provide us with good examples which make us easy to understand.in summary he's a good teacher.","5","38","positive"
"123","his hand writing is so small to see.sometimes he becomes so angry for our behaviour.but he is very very good teacher.","3.71","21","positive"
"124","i think he is not a good sir also a good friend.","3.67","12","positive"
"125","mohiuddin sir is an idole teacher.he is punctual,cool,freindly,easily understandble.he is simplty the best.i admire & respect him.","4.67","17","positive"
"126","my course teacher is very helpful and tries to easily understand this course very proper way.","3","16","neutral"
"127","there is no alternative of sadia miss,i like 2 did her class always.great teacher.i luv u mam.","4.17","17","positive"
"128","very good","4.5","2","positive"
"129","friendly to us.","3.81","3","positive"
"130","good and helpful","3.75","3","positive"
"131","good performance","4.83","2","positive"
"132","good teacher","5","2","positive"
"133","he is a good teacher.","4.54","5","positive"
"134","he is a very good teacher","4.33","6","positive"
"135","he is a very good teacher.","4.75","6","positive"
"136","he is realy a good teacher.","5","6","positive"
"137","he is very helpful, friendly,careful teacher.","5","6","positive"
"138","he is very much friendly to the students and all students get proper benifit from him.very much punctual and regularly takes his class at proper time.","3.71","26","positive"
"139","heis good teacher","3.83","3","positive"
"140","i thought that he is the best teacher of aiub","4.63","10","positive"
"141","it is no need to say that he is a good course instructor. every student like him so mush.","3.38","19","neutral"
"142","mohiuddin sir is very nice teacher.","3.42","6","neutral"
"143","sir really is a very good teacher. no doubt about that","5","11","positive"
"144","as a faculty, by far i consider him to be one of the best.his style of teaching and grading us is really impressive. i have full respect for him.","3.63","29","positive"
"145","east or west mohiuddin sir is the world best.","4.63","9","positive"
"146","he is a brilliant teacher .","3.83","6","positive"
"147","he is a nice teacher","5","5","positive"
"148","he is a nice teacher","5","5","positive"
"149","he is a verygood teacher. he is boss of accounting.","4.92","10","positive"
"150","he is a vey vey good teacher.and always takes care all students","4.96","12","positive"
"151","he is exactly the type of teacher our university needs","3.63","10","positive"
"152","he is good&helpful","3.89","3","positive"
"153","he is ovaroll a very good teacher.his teaching style is very good.","5","12","positive"
"154","he is quite good.","4.42","4","positive"
"155","he is the best of the best","4.25","7","positive"
"156","he is very responsible and sincear. i respect him.","4.5","9","positive"
"157","he's very friendly n cooperative.","4.25","5","positive"
"158","his teaching way is very suitable for every students. from all the way he is a perfect teacher.","5","18","positive"
"159","i think, he is a good teacher.","4.13","7","positive"
"160","mohiuddin, md. is very good. his teaching method is very good & interesting.","4.29","13","positive"
"161","no coomment","4.67","2","positive"
"162","very good","5","2","positive"
"163","mohiuddin, md. sir is very good for us. his teaching style and strategy is very effective for the students.","3.75","19","positive"
"164","everything is ok.good teacher","4.88","4","positive"
"165","he is a better teacher in aiub.his attitude is really un-common than other teacher.","4.17","14","positive"
"166","he is a good teacher","4.92","5","positive"
"167","he is a good teacher.","4.58","5","positive"
"168","he is a very good teacher.he really takes care of his students.","4","12","positive"
"169","he is anice teacher","4.5","4","positive"
"170","he is one of the best guy whom i see my life. he is vry cool charming and attracting.i like him very much.","4.83","23","positive"
"171","he is one of the good, friendly,well manered & respected teacher in aiub.","3.92","13","positive"
"172","he is one of the greatest theacher in aiub in my versity life. his teaching method is attractive and easy.","4.79","20","positive"
"173","he is quite good.","4.29","4","positive"
"174","he is realy a friendly teacher.","3.04","6","neutral"
"175","he is the best teacher of aiub.","4.79","7","positive"
"176","heis a good teacher and friendly to us. he always try to make us understnd the problems.","4.33","17","positive"
"177","i think he is excelent teacher .","4.88","7","positive"
"178","i think he is well for us.his teaching style well.","4.42","10","positive"
"179","mohiuddin sir is a great teacher.","4.83","6","positive"
"180","perfect","4.38","1","positive"
"181","safiq sir is the best teacher in the accounting course.actually he is great.","3.08","13","neutral"
"182","sir is good & friendly.i like his teaching styl.","3.79","9","positive"
"183","sir is very good .every students meaning his lecture.","5","9","positive"
"184","very good teacher","4.58","3","positive"
"185","as a sir i respect him a lot he makes the class so interesting . i would like to take all the accounting subjects in future to him.","4.02","28","positive"
"186","excellent","4.96","1","positive"
"187","good teacher","4.58","2","positive"
"188","he is a good teacher for a student.","4.08","8","positive"
"189","he is a very good teacher.he has a very good relation with his student.","4.15","14","positive"
"190","he is a very good, nice and best teacher.","4.67","9","positive"
"191","he is good teacher and helpful. when i face problem then he helps me.","2.63","14","negative"
"192","he is too good.","4.17","4","positive"
"193","mohiuddin, md. sir is well enough for us.","4.04","8","positive"
"194","no need to mention it he is a very good instrutor.every student wants to have him as their instructor.","3.67","19","positive"
"195","excellent","5","1","positive"
"196","excellent teacher.","3.79","2","positive"
"197","good sir","3.46","2","neutral"
"198","good teacher","3.33","2","neutral"
"199","he gives 1 or 2 days to submit assignment it is quite imposible for us.","4.04","15","positive"
"200","he is a good sir.he teach us proper way.we can easily understand his lecture easily.","4.79","15","positive"
"201","he is a good teacher","4.88","5","positive"
"202","he is a good teacher.","4.38","5","positive"
"203","he is a really a good teacher","4.92","7","positive"
"204","he is very good as a teacher .as a person simply best.understanding manner all the time.","4.29","16","positive"
"205","he is very good teacher.","4.83","5","positive"
"206","he's really good teacher.","3.98","4","positive"
"207","mohiuddin sir is a nice teacher and always help us to understand all the topics clearly . he is always very freindly with us.","4.79","24","positive"
"208","sir is a too good.","5","5","positive"
"209","he is a good teacher.","5","5","positive"
"210","he is a nice teacher.","5","5","positive"
"211","he is excellent enough .","4.74","5","positive"
"212","he is a good teacher.","4.67","5","positive"
"213","teaching system is excilent.","4.83","4","positive"
"214","he is a very good teacher","4.33","6","positive"
"215","one of the best teacher of aiub","5","7","positive"
"216","he is a good teacher","5","5","positive"
"217","he is a good teacher","4.97","5","positive"
"218","he is an excelent teacher.","4.67","5","positive"
"219","he is very good teacher","4.46","5","positive"
"220","he is a very good teacher.","5","6","positive"
"221","he is a good accounting teacher.","4.46","6","positive"
"222","he is a good teacher.","4.92","5","positive"
"223","sir is very understanding,he is clear lecturer.he is quite kind in givein marks.he is punctual n takes quizes on time.","4.38","20","positive"
"224","very very very good nice well to all.","4.83","8","positive"
"225","hi is a very good teacher for sure. we need this teacher for our develop.","4.08","15","positive"
"226","very good teacher","5","3","positive"
"227","he is a good and sincere teacher. he has consideration for his students and tries to help them sincerely.","3.5","19","positive"
"228","he is a good teacher","5","5","positive"
"229","no","3.17","1","neutral"
"230","good teacher but should speak in english","3.5","7","positive"
"231","high regards for mr. mohiuddin except for not speaking in english in class as much as he should and could.","4","20","positive"
"232","dr. bijoy b das is a helhul teachrer for aiub. i wish his success.","4.42","14","positive"
"233","good","5","1","positive"
"234","good teacher","4.29","2","positive"
"235","he is a good teacher.","5","5","positive"
"236","he is a good teacher.","5","5","positive"
"237","he is a good teacher.","4","5","positive"
"238","he is a good teacher.","4.21","5","positive"
"239","he is agood teacher.","4.17","4","positive"
"240","he is good","5","3","positive"
"241","he is my favorites teacher","5","5","positive"
"242","he is perfect for our class.","4.3","6","positive"
"243","he is so friendly to all students.","4.67","7","positive"
"244","he is the best.he is my favourite techer.","4.46","8","positive"
"245","he teaches very well.","4.71","4","positive"
"246","md. hamidul haque sir try to improve our english fluency & his technic is ok.","4.67","15","positive"
"247","no","3.21","1","neutral"
"248","she is a good teacher i have seen. she make me understand about all grammatical rules.as a teacher i like her very much.","4.83","23","positive"
"249","she is good and caring one.","4.08","6","positive"
"250","she is one of the best teacher in our university.","4.75","10","positive"
"251","she want's to understands us but sometimes we cann't understand.","3.24","10","neutral"
"252","the best teacher in aiub","5","5","positive"
"253","can explain well","4.75","3","positive"
"254","great teacher","3.67","2","positive"
"255","he is a good teacher","4.67","5","positive"
"256","he is a good teacher.","4.79","5","positive"
"257","he is not a good leacharar.we can not undestand him & he can not undestand us.his class was so boring.","1.83","20","negative"
"258","he is the best","3.58","4","positive"
"259","i think he is a outstanding man in respect of his smartness. he is a very good teacher. but very often we are worried about our grade in respect of his hardness.","4.71","32","positive"
"260","in my thought she is one of the great faculty person.","4.25","11","positive"
"261","it would be appreciable if she considers students in a friendly manner.","4.58","12","positive"
"262","she is a great teacher with a great vocabulary skill, politeness and with a sweet smile always","5","17","positive"
"263","she is a nice teacher","5","5","positive"
"264","she is a nice teacher i ever saw in my life.","4.17","11","positive"
"265","she is an excellent teacher.","5","5","positive"
"266","she is nice teacher.","4.92","4","positive"
"267","she is sensitive and she tries her best to make us understand.aii over she is good.","5","16","positive"
"268","she is verry good teacher","5","5","positive"
"269","the teacher is very good","3.79","5","positive"
"270","tripora sir is great.","3.38","4","neutral"
"271","well he iz a gud teacher but sumtimez faces problems in answering the questions of the studentz.he also has sumthing against us,the english medium students.","1.79","25","negative"
"272","he is realy good teacher","5","5","positive"
"273","as a teacher she has all kinds of virtue i like her a lot as my teacher she is so helpful and i wihs her best of luck.","3.96","28","positive"
"274","as his behaviour is good & teaches us very well .he is a good faculty man as well as a good teacher. so we like him","4.26","26","positive"
"275","good","4.71","1","positive"
"276","good","4.67","1","positive"
"277","great mark distributor","3.96","3","positive"
"278","he is a good teacher.","4.17","5","positive"
"279","he is an excellet teacher who knows his subject. he tries to optimise the performence of every student. i guess there are hardly any flaws in him (other than the fact that he is a bit too lenient but thats good for us).","3.96","43","positive"
"280","he is good teacher but too much hard.","2.83","8","negative"
"281","he is ok!","2.83","3","negative"
"282","her academic career is undoutable strong.","4.71","6","positive"
"283","she helps us always.she is a perfect teacher.","5","8","positive"
"284","she is a good teacher.","4.42","5","positive"
"285","she is a nice madam i saw ever in my life.her pronoucation influece me all the time.","4.46","17","positive"
"286","she is nice teacher","4.81","4","positive"
"287","she is really a good and manageable teacher aiub students need a teacher like her more i think","3.38","18","neutral"
"288","this is a nice faculty.","3.5","5","positive"
"289","a perfect teacher to learn english easily","4.58","7","positive"
"290","good","2.88","1","negative"
"291","he","5","1","positive"
"292","he is a good teacher.","4.46","5","positive"
"293","he is a good teacher.","5","5","positive"
"294","he is a very good teacher","4.89","6","positive"
"295","he is a very good teacher","5","6","positive"
"296","he is agood teacher.","3","4","neutral"
"297","he is not good at all","1.88","6","negative"
"298","i like him so much. he is the good techer","4.48","10","positive"
"299","sadia miss a nice teacher.","4.75","5","positive"
"300","she is good teacher very helpful","3.38","6","neutral"
"301","she is a good teacher","5","5","positive"
"302","she is good.she has a good personality.her teaching style is outstandig.","4.67","11","positive"
"303","she is really a good and manageable teacher aiub students need a teacher like her more and more i think","3.38","20","neutral"
"304","she is very nice to her students and friendly.","4.33","9","positive"
"305","she is very well.","5","4","positive"
"306","she's really good teacher.","4","4","positive"
"307","very nice teacher","5","3","positive"
"308","well","4.23","1","positive"
"309","an excellent faculty with the ability to make the topic interesting. always helpful towards students allowing him/her to perform better","4.57","20","positive"
"310","he fails to explain the context clearly, and skips without asking other students if they had understood or not. he does not exlpain to the students cleary how to read and write the context. without doing so he just kept on taking qiuzs'.","3.38","43","neutral"
"311","he is a good teacher","3.88","5","positive"
"312","he is a good teacher. but one thing to say. he is just like a robot. heeee heeeee. sorry sir to say that.","3.75","23","positive"
"313","he is a nice teacher.","4.38","5","positive"
"314","he is a very good teacher.he is very suitable for us.he is a very sinceir and take care the students.","4.64","20","positive"
"315","he is good.","4","3","positive"
"316","he should make the classes more intereseting.","2.96","7","negative"
"317","he's very tough n never treat his students in a friendly way.he dont have a friendly conversation with his studnts.","3.46","20","neutral"
"318","i really enjoy his classes.","4.17","5","positive"
"319","sadia miss is a nice teacher.","4.67","6","positive"
"320","she is a good teacher.","4.67","5","positive"
"321","she is really nice and friendly.very co-operative.explains every lecture clearly.","4.67","10","positive"
"322","very good","3.38","2","neutral"
"323","bad","1","1","negative"
"324","excellent","5","1","positive"
"325","good","4.5","1","positive"
"326","good teacher for english.","4.21","4","positive"
"327","good teacher,always helpful and considered minded.","4.3","6","positive"
"328","he is a nice teacher. the best thing about him is he makes his relation to his students as friends which is a very important thing for a communication skills teacher.","5","31","positive"
"329","he is a very good teacher.","5","6","positive"
"330","he is really a good teature","4.83","6","positive"
"331","i like her because he is a very good teacher and her teaching style is very interesting.","5","17","positive"
"332","madam is great.","4.25","3","positive"
"333","one think that i can say that he is a great teacher,g luv this teacher.","4.83","15","positive"
"334","sadia madam is a good madam.her teaching system is well.i like her activity.i think, she will do well in future.best of luck madam.","4.67","23","positive"
"335","she is a nice teacher","4","5","positive"
"336","she is a very good teacher","3.54","6","positive"
"337","she is very responsible and sincear.i respect her.","4.5","8","positive"
"338","she is very sincere and efficent teacher. i like her very much.","2.96","12","negative"
"339","good","4.67","1","positive"
"340","good teacher","3.63","2","positive"
"341","he is a good teacher .","2.83","6","negative"
"342","he is a very good and friendly to us. he always try to make us understand the problems.","4.83","18","positive"
"343","he is a very good teacher and really takes care of his students.","5","13","positive"
"344","he is better","5","3","positive"
"345","he is the best in methods of teaching .","4.54","9","positive"
"346","he is the best teacher","3.83","5","positive"
"347","he is very responsible and sincear. i respect him.","4.5","9","positive"
"348","he is very sincere to students","3.6","6","positive"
"349","he needs to improve his behaviour.","1.92","6","negative"
"350","he tries to do something new to teach us wich is appreciatable,but i'm not sure about his procedures.","3.58","18","positive"
"351","helpful and nice teacher","4.96","4","positive"
"352","she is a good teacher.","3.71","5","positive"
"353","she is a sweet teacher","4.71","5","positive"
"354","she is really a good and manageable teacher aiub students need a teachr like her more and more i think","3.38","20","neutral"
"355","sir is well good but sometimes he is very borring.","2.25","10","negative"
"356","well mannered, focused and always helping.","4.63","6","positive"
"357","above all he is perfect for our communication skills class.","4.13","10","positive"
"358","good","5","1","positive"
"359","good teacher,but give more works.","3.71","5","positive"
"360","great teacher. take care like my parents.","5","7","positive"
"361","he is a good teacher and i think he understands the problems of a student.","4.54","15","positive"
"362","he is a good teacher.his teaching mathod is better.always tries to teaching us a easy way.","4.21","16","positive"
"363","he is a very good teacher.","5","6","positive"
"364","he is good teacher.","4.17","4","positive"
"365","he should be more strict when some students disturbing in the class.","3.56","12","positive"
"366","i dont like hes attitude and he's work.he's not a good teacher though!","1","13","negative"
"367","not good for the student of bangla medium.","3.25","8","neutral"
"368","sadia miss is friendly with her students and a very good instructor","4.29","12","positive"
"369","she is a good teacher","5","5","positive"
"370","she is anice teacher.","4.83","4","positive"
"371","she is polite, good behaved and a great teacher.","5","9","positive"
"372","should acknowledge when students talk or greet him","3.83","8","positive"
"373","simply he is best for his job.","4.79","7","positive"
"374","excellent","5","1","positive"
"375","good","4.61","1","positive"
"376","he is a good teacher .","3.88","6","positive"
"377","he is a good teacher overall.","4.42","6","positive"
"378","he is a good teacher.","3.88","5","positive"
"379","he is realy a good teacher.","3.08","6","neutral"
"380","he is very much serious.","3.79","5","positive"
"381","his is helpful","4.33","3","positive"
"382","mame is a too good.","5","5","positive"
"383","she is a very good teacher","5","6","positive"
"384","she is good&quit helpful","4.08","4","positive"
"385","she is very careful,resposible,helpful teacher.","5","5","positive"
"386","she is very friendly.","5","4","positive"
"387","she's good.!","2.92","2","negative"
"388","very good","4.75","2","positive"
"389","y have no capabvle to learn uni eng.u do not think the generel student(h.s.c).y think a\o level student.y study system is not good for all student.now, we want to change this study system. dear sir, y wel,but i am sorry to this commend.","1.92","43","negative"
"390","good","5","1","positive"
"391","he is a good and very exerienced teacher,but i can not get him in his class.it's actually my fault","3.63","19","positive"
"392","he is a good sir.","4.67","5","positive"
"393","he is a good teacher for a student.","4.29","8","positive"
"394","he is a very good teacher.","5","6","positive"
"395","he is good. his teaching method good.","3.79","7","positive"
"396","he is nice.","4.32","3","positive"
"397","he is so co-operative with the students","4.79","7","positive"
"398","he is the best","5","4","positive"
"399","he is very good teacher and smart. i like him very much and i think he like me very much.","5","20","positive"
"400","i thing he is good teacher for english,and he acth such as a good friend in class.","4.46","17","positive"
"401","i think, she is an excellent teacher.","4.33","7","positive"
"402","sadia miss is a great teacher . she always teach us very nicely and so freindly with us.","4.75","18","positive"
"403","she is a good teacher.","5","5","positive"
"404","she is good in english and so helpfull.","4.87","8","positive"
"405","she is great.","2.92","3","negative"
"406","the teacher is very good","3.46","5","neutral"
"407","to learn the english language & in the easier way,she is the perfect teacher.","4.71","14","positive"
"408","altogether, nice faculty.","3.08","3","neutral"
"409","good","2.88","1","negative"
"410","he does not have any qualifications to teach us.i mean he doesnt have da teaching capability.his attitude is very poor.and he seems to have a personal jealousy with the english medium students.he cannot answer questions properly.overall he is extremly a bad teacher","1.92","42","negative"
"411","he has a good cimmand in english language.","5","8","positive"
"412","he is a good teacher","5","5","positive"
"413","he is a good teacher but his teaching policy is not good.","1.92","12","negative"
"414","he is a very active teacher.","5","6","positive"
"415","he is a very helpful and honest teacher","4.28","8","positive"
"416","he is good.","4.88","3","positive"
"417","he is really nice teacherfor us.he is very sensible about us.","3.46","11","neutral"
"418","he teaches well.","4.83","3","positive"
"419","i think this teacher is good.","5","6","positive"
"420","mam is fantastic just too good with her students. an ideal teacher she is i would say.","5","17","positive"
"421","nice teacher","4.66","2","positive"
"422","she is a very good teacher","4.23","6","positive"
"423","she is nice and friendly and co-operative.","4.58","7","positive"
"424","she is punctual. she motivats her students very much.she is always better.","4.83","12","positive"
"425","the teacher is very good.","4.96","5","positive"
"426","very good","4.83","2","positive"
"427","very good teacher and above all true","4.46","7","positive"
"428","good","3.11","1","neutral"
"429","good","4.5","1","positive"
"430","good teacher","5","2","positive"
"431","good teacher.","3.83","2","positive"
"432","great teacher","5","2","positive"
"433","great teacher","5","2","positive"
"434","he is a good teacher","5","5","positive"
"435","he is a good teacher.he is also careful and punctual about our studies.","4.67","13","positive"
"436","he is a so so teacher.","3.38","6","neutral"
"437","he is a very good teacher and also very strict to follows the rules of the varsity.","4.5","17","positive"
"438","he is a very good tutor","5","6","positive"
"439","he is teaching us about the reading comprehention. but we should to know the easy rules to read and understand the passage","3.71","22","positive"
"440","mr haque is always very punctual.","2.92","6","negative"
"441","she is so sweet & we like her so much . she is really a good teacher & also a good person .","4.67","23","positive"
"442","she is an overall good teacher.","4.92","6","positive"
"443","she is great.","5","3","positive"
"444","she is nice n cute.","4.33","5","positive"
"445","she is very helpfull","5","4","positive"
"446","she's explains well.she tries to make class friendly.she is very coperating.in summary she's is a good explainer & help us with our problems.she is basically a good teacher","4.92","28","positive"
"447","2 good really 2 good","5","5","positive"
"448","a very good teacher","5","4","positive"
"449","best teacher.","4.83","2","positive"
"450","evaluation and marking method is very poor.","3.38","7","neutral"
"451","good","4.83","1","positive"
"452","good teacher","4.46","2","positive"
"453","he is a good personal, and a very good teacher.i like him and like his teaching polices.","3.88","17","positive"
"454","he is a good teacher and helpful.","3.13","7","neutral"
"455","he is a good teacher but he is not kind to grade.","4.96","12","positive"
"456","he is a good teacher.","4.71","5","positive"
"457","he is a good teather.","2.63","5","negative"
"458","he is a nise teacher.","3.33","5","neutral"
"459","he is a really a good teacher","4.83","7","positive"
"460","he is a very good teacher.","5","6","positive"
"461","he is good, encouraging , and nice human being","5","9","positive"
"462","he is great","3.64","3","positive"
"463","he is one of the best english teacher in the aiub.","4.57","11","positive"
"464","he is really a nice teacher.","5","6","positive"
"465","he is very good teacher.","5","5","positive"
"466","in a word she is great","4","6","positive"
"467","she is a nice madam","4.23","5","positive"
"468","she is good teacher. i like her treching syuel.","3.33","9","neutral"
"469","sometimes does not give us consideration.","4.46","6","positive"
"470","sometimes he does not consider our little mistakes and does not give good marks","3.46","14","neutral"
"471","very fine","4.67","2","positive"
"472","very good and effective teaching mode is followed by him. we are happy to have a teacher like him.","4","19","positive"
"473","very good faculty","5","3","positive"
"474","very good teacher","4.66","3","positive"
"475","a vast amount of experince behind his name.teaching mathod is good.helps every student who goes to him and stict to his basic.","4","22","positive"
"476","good","4","1","positive"
"477","he is a good teacher","4.96","5","positive"
"478","he is a good teacher but he should be more kindful about giving the grades.","3.75","15","positive"
"479","he is a good teacher.","5","5","positive"
"480","he is a good teacher.","3.77","5","positive"
"481","he is a good teacher.","2.15","5","negative"
"482","he is a good teacher.","4","5","positive"
"483","he is a very good and qualyfide teacher","5","8","positive"
"484","he is outstanding.simply nice.simply best.","4.67","5","positive"
"485","he is quite well.","4.56","4","positive"
"486","he is the best","5","4","positive"
"487","he is the best in communication skills -2","3.13","8","neutral"
"488","he is the best teacher.","3.23","5","neutral"
"489","he is very helpful and friendly.","4.33","6","positive"
"490","he is very nice, gentle and good teacher. i like him so much.","4.83","13","positive"
"491","he teaches very fast","3.67","4","positive"
"492","i think he is a good teacher.he can teach us correctly.","3.21","11","neutral"
"493","mr. borendra is a good teacher.i like his teaching method","4.5","10","positive"
"494","nice","4.63","1","positive"
"495","not so good","2.83","3","negative"
"496","she is not a good teacher at all.she should find out another place to anywhere.","2.5","15","negative"
"497","she is out of doubt a good teacher.but if she emphasize on the subject matter more,it would be more convenient.","4.78","20","positive"
"498","she is quite nice","5","4","positive"
"499","she studies student very well and always tries to make subject easier.","4.17","12","positive"
