index,text,sentiment
19596,On train with at least two gaggles of teenagers sitting & the commuters squished standing in the back...at least the teenagers let me sit,neutral
18010,"Had a blast, babe. Thanks joe. <3  i love everyone! Tyler...happy birthday.",positive
7551, you suck majorly  i`m swamped...so why am I on twitter...I don`t know...but still  a golf tournament?,negative
2337,just made a cake for mi madre  i`m goooooddd!,positive
27326,going to the cinema to see ghost of girlfriends past!,neutral
4436,"When someone edit your designs is called plagiarism right??, but what can you do??, I`m tired, exhausted and dissapointed",negative
18031,I loved johnny carson now I`m going to hate seeing jay leno go  (via ) that`s what I was waiting for someone to say!,neutral
7229,Hats off to a slightly unexpected yet very successful end to a grouling day!!! Night all,positive
8937,"_J i soo dont wanna work tmrw!  ...only on a half day tho so hopefully the sun will stay out for me! Gonna go get showered, tweet l8rs",positive
15907, I tried to DM you but your not following me,negative
19241,"@_elj Appreciated,uni email is helpful..",positive
18657," Oh, amazing  I have two too and I need to have the third (yn)",positive
8909,Spending Mother`s Day with Mom.,neutral
12712,"All right, time for happy face.",positive
13582,"'I only think of you as breaking my heart, I`m trying to keep it together but I`m falling apart.'",negative
24139,"[H]ouse starts on Sunday and I`m sad as I can`t afford Sky,",negative
10228,  yess... it`s awesomee.. and u can follow ur love molly hahah....  now u can chat with us here!,positive
19175,tired goodnight everyone,neutral
22305, I`m here!... Jdubb is @ his funky job...I guess.. We`re neglected,negative
640,sorry to tweet about BGT but poor wonderful crazy weird Greg  so not fair. the silly little girl is never going to cope. urgh. NOT FAIR.,negative
26529," : Hi, i think u should try Ph? in Vietnam, it`s really quite delicious",positive
24432," ... much more injustice than we can imagine now. It will get worse before it gets better, I am afraid. No doubt here. Sorry",negative
16740,"_Believer I know! That`s ok, most did ;) Thanks",positive
11920,feels great after solving a minor but long term problem with 3ds max just now!  Maybe I should try animating the avatar after all? xD,positive
6940,I would rather end up heart broken then have regret because i didnt take a chance,negative
19894," Dreams give rise to reality. When they said I wouldn`t   walk, my dream was to fly! Dream, Believe, Achieve!",positive
8919,is so tired ive walked 6.05 kilometres today,negative
12274, ask mark if he still has that old blink sense of humor!! i miss it,negative
10324,"And, I`m accumulating money again, so I can use a fancy finance app. Thinking of getting another CD or an IRA.  saving for a house. crazy!",positive
21071,"on my way to get some Maggie Moos Peanut Butter Galaxy, then home! thank god this week is done. 4 meetings in 1 day!!!!",positive
23774, Thats awesome!!  Good idea!!,positive
3724,  Goodnight.,positive
4230,I just had to look up endometriosis. Oy!,negative
16797,Happy Mothers Day to all you mom out there,positive
9634, I haven`t had one for a long time. Too expensive,negative
21087,at the theatre.... seeing star trek for a second time becuase i am that cool,positive
23407,_785 yeah now I`m done BUT I have to work all weekend  I`m sooooo bummed about it,negative
3230,i have sore throat. that`s suck.,negative
1136, thanks  lyxxx,positive
11009,"Depressing day today, have to pack as leaving ridiculously early tomoro.",negative
23331, meeting the boy?,neutral
20367,"****, hi Facebook ? what`s wrong with you ? can`t add photos",negative
20271, eat (cup)cake,neutral
737,  Thanks! My mom`s seed is larger and already cracked (and planted). I hope Avalina isn`t a dud!,negative
4144, no they didn`t!,neutral
11772, That`s good to hear - morning,positive
25436,I can`t comment directly to someone...... and I`m here all alone,neutral
17817,"****. I had 11 goldfish.  Oh well, that`s my dinner. Anyways! Check out my blog yoooo http://weaselbee.blogspot.com/",neutral
25933,"Caught up with apprentice last night, poor Howard, it was Lorraine`s turn to go",neutral
7421,Up and packing. Its the last day of youth camp,neutral
9895," Hehe. I have the ZSG. Should probably go over it again. Also, Mike has moved up to Orillia, so his arsenal isn`t so available.",neutral
4263,"Wait - No Wind in Hair - that would be I-L-L-E-G-A-L!!  I would Never break the law!! No, never.",positive
25178, Me too.  Wonder if Mnet will show it...,neutral
129, hey mia!  totally adore your music.  when will your cd be out?,positive
10762,contemplating borrowing one of my moms dogs just for today..i want to take care of someone.,positive
11947,here again in school bored wanting  2 go home,negative
1894,The sun is wonderful but makes me feel incredibly fat.. The less clothes and more exposure thing  today I diet. Again......,neutral
21064," Awesome, congrats on completing it! (I can`t believe you cycled the distance to my cottage though in 1 day.  )",positive
2291,But I do tweet about you,neutral
9080,http://twitpic.com/4wdui - She`s so festive aint` she hehe,positive
4285,Had fun 2nite...i was pleasantly surprised,positive
6484,"uft im tutoring the lil sis  shes so cute, even though shes an eighth grader :p",positive
12908," I love my mom, she`s the best mom on the planet",positive
13497, heard you slutted it up! I`m totally jealz~ I missed it. Maybe next time!,negative
74, she is good! so gor-juz yea i kno i asked her yesterday when we were at tha hospital if she talked to u and she said no,neutral
20819,"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs.",neutral
11539,_gurl woot,positive
16052,"Ok, ahhh! Last chance to go into school before chemistry exam!!",neutral
24279," That may be, I still don`t like hearing his name so much.   #blackhawks #canucks",negative
22761," unfort, i can`t DM you b/c ur not following me",neutral
10693,headache boo,negative
16824,English exam! Bleh i hate vocab,negative
18038,_Cool yep here`s hoping,positive
8955," Thank you for approving my application at the TWA Forum, honey. Keep up the good work",positive
3079,_bree say hi to the otters! They are my favorite- besides the fact they are slowly killing themselves with each shell they open.,neutral
3089,  it sucks no matter where you are! I`m gonna freakin be late for work!,negative
11715, lol...but they aren`t here! I`ll tell them to do that Monday. lol,neutral
3852,listening to the cat snore,neutral
11305, love watching your yt videos and am really looking forward to seeing the collection vid,positive
13714,missing his voice,negative
21770,_M make sure you watch in HD,neutral
1547,put ad on craigslist/Quebec 4 tan salad plates with bird drawings  can only do 1 area @ time. I still need 3 more. Got 2 at my Tuesday AM,neutral
10306,I`m way to sleepy.. Ill watch my shows lata..Good nite twit-fam!.. God bless!..XoXo,positive
14902, lol The sun is hiding hes having a lie in  hows you?,neutral
11862, nope  het is LOST&found he ;-),negative
12499,  remember and drink plenty of fluids! and no buwieser dose not count!,neutral
7598," NOOOO I`ll miss you too much!  I went stag to my prom and all the high school and middle school dances, if that helps. >_>",negative
26748,I want to panic,neutral
2169, i got followed by one that says she doesn`t talk to 'god people'-i wonder if she talks to 'goddess people?',neutral
6213,dancing around and cleaning the house..... loving my sunday so far,positive
2025,Lol @ me and  whispering so we don`t get in trouble and being almost 30! Feels great to be home feeling like kids,positive
20579, this time there is a theme and it is 'purple',neutral
18627,#HappyMothersDay to all the moms out there,positive
21285,"thankyou short stack for bringing out a second sydney show,, now im going to both  im so thankful for you guys being so good 2 ur fans",positive
24502,Drinking and smoking is very bad.---but im grown tho,negative
19955,RAM upgrade=done! FF still slow so disabling all add-ons  Not sure which ones will make the cut to be honest. It`s like Sophie`s Choice!,negative
17926, lol very much appreciated!!!  so excited!!!,positive
8267,Watching jackass the movie  http://twitpic.com/4wlgi,neutral
8422,I need a coffee,neutral
19199,Getting some sleep. Stuff with the family and a ton of homework tomorrow. Night,neutral
2906, My cats enjoy the sunbeams from the open windows.  I think that counts.,positive
10944, then you must insist you write essays the twitter way - no more than 140 characters,neutral
24480,LA unified summer schools drastically cut due to CA budget  cuts. Very sad,negative
9763, tres rude VICTOR!  :\,neutral
14073,I wish I could go to E3.  Oh well....,neutral
9617,Definitely need to work out after this business trip- too much free food and alcohol. I`m sure I`ve gained a few pounds.,positive
9233, I don`t like fishfingers. I don`t like fish or seafood really. But enjoy it,neutral
4149,home for the night to hang out with my mom and study,neutral
13809, there was like no1 there n tha DJ comp was hella wack... no gud DJs  but got in free so its all gud,neutral
6442,Babysitting. Text me and keep me company,neutral
14560,looking at all my old myspace status` oh mann. Skyrockets in flight! afternoon delight! AAAAAAAAfternoon delight!,positive
25058,doesn`t kno wat to do now ER is over  saddo,negative
6263,"6:29 pm - ok, let`s go now through #bowman #strategicClock but first.. a break :-0 aargh.. tired",negative
5323,the sunset view is SO beautiful from my room!,positive
7136,  just listened to the songs on your myspace.  really good,positive
8942, ReTweeting`s my favorite.    #palin,positive
15231,Raining...  I missed the rain so much...  I am grateful for it ;),neutral
11082,Miley Stevens - Waterhouse is at Jhy`s house  http://apps.facebook.com/catbook/profile/view/6402509,neutral
3400,  Wow.  I hope he gets better... cancer can GTFO.,positive
10906, nice have fun....Although you cant not have fun lol,neutral
15751, Ur welcome,positive
5449,good to have a (boy)friend like you,positive
2237,_Lambert Fans from outside the US wish they could vote for Adam too!,neutral
1518, haha IE...it`s expensive!!!! Hm...let me message you later,negative
25738, hope the studyin went well,positive
13047, all is quiet in twitterland 2day.,neutral
6498, haha that sucks! actually mine is worse. mines ft math  eww,negative
10842,"a surprisingly good day, now its time to sleep. hopefully sweet dreams await me",positive
7149,"  I`m soo sad. It`s just on the edges of the pages, but it`s not gonna come out. *cries*",negative
19245,It`s almost past 3. Time to go to bed,neutral
10429, no not yet...,neutral
12864,ofcourse they wait until the last minute to run an experiment at work...that I have to supervise. aka i dont get to leave work on time.,neutral
5821,"aaauuuggghhh! in n out, check! mcdonald`s, check! haha, next is hot cheetos!",neutral
18883,CRYING CUZ PEOPLE WONT FOLLOW ME!!!!!!!,negative
8261,**** you is all i have to say,negative
24376," haha! thanks, Tiff   it went well, but they WORE ME OUT!!! lol. im too old for this ;)",neutral
2284,It`s a sad day for beer drinking movie goers. The Speakeasy theaters are no more,negative
6422,On the bus to NYC   http://yfrog.com/08kaifj,neutral
1011, I created my account just to get a chance to chat with you (: I ADMIRE YOU! you`re amazing! you inspire me to write  <3,positive
20546, that sounds interesting. wish my phone did java..,neutral
821,Some goodies bagged at the car boot including some very cute cross stitch birds for my craft room! The man selling was a sweetie,positive
1754, I can`t  has blocked me.  I can`t even request,negative
22443,my mom watched my new video and she actually LOL  Love her! xoxo http://bit.ly/16w6zV,positive
18747,Dreary bus ride home. Im rubbing my eyes out but at least I didn`t spend the day in school. Over 12 hrs well spent,neutral
162,Night of the cookers with my dad,neutral
19881,Shout out to my moms for wakin me up so prematurely! Preciate it,positive
16985,Wishes you hadn`t teased me with movie night,positive
7201,just sending a twitter from the club! i twittered u,neutral
22209,"ending my evening on the best note.  i will love you forever, tweets.",positive
21156,"I have test tomorrow but i dont study, then i go very bad",negative
4036,home alone on a friday night  doesnt get sadder than that folks,negative
20668, I use to own a 32 lbs tabby cat. Got him for North Shore Animal league he had diabetes,neutral
13385, morrissey will cure you  I am jealous. but not in a slash your tyres way just in a hope you enjoy it wish I cuold go way,neutral
26087,Really nervous about my animal rights presentation next period,negative
16526,So nice how Natalie taught Jameson 'why'!!!,positive
5329, ok thanks  do you like my new pic? http://twitpic.com/4jewc,positive
9559,wants to go home.,neutral
11928, Or nudge the partner! Good birthday/ christmas/ I just want to buy you something gift!,positive
2374," Im not getting any treatments, we are just gonna hang out at the pool and the hot tubs.",negative
16637, dear ITTO what could possibly be THAT bad? Xo,neutral
10669,50 is sooo much better than 65  my biology score`s so bad.,neutral
25154,_anke What`s wrong with the ski slopes of MK? They`ve got coffee shops as well y`know!,neutral
16755,morning all....beautiful day...best go enjoy some sunshine before i have to go to work...unfortunately,neutral
20027,Thinks he may have broken his nose at the show,negative
17309,"So now, I have conjunctivitis in my left eye. Is this a sign of something? What did I do wrong to deserve this?LOL I`m dying people!",negative
11353,  i can`t vote for  her i`m #frustraded  :@,negative
3116,whew finally got in to RC..,positive
21630,Yeah it`s Friday but I have to work at 5am tomorrow  oh well going shopping afterwork,neutral
2459,watching my baby on snl !  baby you look greaaaaat ;),positive
25844,Have to keep bumping the mouse so my computer doesn`t go to sleep. No Internet access  No files to work on. Slowest Friday eeeeevvveeerrrr,negative
6459,Just had a horrible experience with a dentist.  Had a crown made that doesn`t fit right and they won`t fix it or give back the money.,negative
1089,wow i have no friends on twitter,neutral
17424,Oh that just made my evening.  I forgot Merlin was on tonight!  But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices.,positive
26363, i quite like God Save Our King too,positive
20470,I sewed my shirt  and I fail at screaming v_v but I had a quesadilla!  Quesadiaas are bombbb <3 I will try and scream another day! :],positive
17776,I can`t think of a way to express in 140 chars how disspointed I am with the advertising on Lifehacker`s Why I Didn`t Buy A Mac article.,negative
25186,Got up early did a **** ton now im headed to cherokee park to run  and walk !,neutral
4394,I tell him today! :S it`s his last day,neutral
9562,"the downside of getting TDL 3 days early is that i won`t have time to read it til next week anyway!  but still, hurrah *clutches it close*",positive
15099," wow,that must be sooo cool",positive
21050, Dude... That sucks! Why would they tow it from your own space?,negative
16317,Happy mother`s day all you moms!,positive
26711,says Goodmorning.  http://plurk.com/p/x2bm1,neutral
4067," , Just read an article that buying IP`s doesn`t necessary mean to get developement teams . Does that mean   ?",neutral
13162,At home alone with not much to do,neutral
25663,theres nothing worse than working on a friday night and having to wake up at 6 am on a saturday. I want my babe,negative
23104, hey dave im just up in the UK and first thing i done was put RR on  could u play ill be there new kids on the block thanks,neutral
9656,headed into venue.  bbl,neutral
16286,mothers day drama was awesome!,positive
5147, ah same  how was oliver?? so anooyed i couldnt come. we are the only ones with twiiter  its great! x,neutral
14845,I am not feeling well,negative
26736," I added it, are you still awake?",neutral
15039,ah remember the days when you`d sleep in until noon? well guess who did that today? god i feel like a loser,negative
21016,Oh what a day it has been! Stress and thinking about the future is making me sad!,negative
881,Just lost my internet signal  how will life go on,negative
4522, he he! I will send it thru anurag,neutral
19201,"yes, i am quite unsure aswell  haha",negative
1482,"Plane tickets to UK and everywhere in Europe are BEYOND cheap (for June-Oct!!), but there`s NO gig in the near future announced yet",positive
25890, Ah  Not doing cbeebies epg by any chance are you hehe. need pinkyponk crash warnings ;-) Is your journey home long?,neutral
9259,Going to take it quite easy today actually. Yesterday was great but it took a lot of energy out of me. Going out for some pirating later.,neutral
4092,I`m grounded til tomorrow. Sorry to anyone I made plans with.  It`ll have to be tomorrow. (annoyed) http://plurk.com/p/x332r,negative
10268, and how are you going to make it up to me,neutral
2037,About to Lock In on getting better  staying +,neutral
6063,"Of course, the Evil Day Job wants me to stay longer.  I need to win the lottery.",positive
11597,"i`m going to sleepies, feel poorlies and pissed off  night night tweeples ****",negative
10748,not in the mood crazii crazii highly upset now with everything & everybody,negative
16027, 'stunningly beautiful' and 'new piece' don`t usually go together. Wish I could go,neutral
9342,"Whew, the first night and day of summer were.....very sad  But, I have Jess`s grad party to go to tonight!!!",neutral
13695," I mailed  for some help, you got reply right now from him, I didn`t get, which should probly mean I won`t get it",neutral
26898,Its 1:11am and both my girls are still up! .. im so tired ..,negative
17845,Everyone is here. We`re off to party now,neutral
8103," Good morning hun! I will, promise  Glad you like `em. Have a lovely day :o)",positive
9851, I cancelled a run in favour of... staying in. Wish I monies for pubulation tho,positive
12734," No, nothing so important. I just like it to look like that. It`s an old hairstype actually",positive
23073,"Back at it after a weekend of working in the yard. Didn`t open the laptop once, and I`m thankful.",positive
10190, Now that sucks...  P?i ?i s? Ã¯Â¿Â½n?eleg c? Jay Leno nu va mai avea o alt? emisiune sau ceva?,negative
18816, Hey Talinda  How Tyler slept this night? My nephew is now 4 yrs old and he stopped naps from age 3,neutral
22131, I was afraid you were going to say that.,negative
12311, I`ve been using the Sennheiser CX 300 earbuds for 8 months and I love them.  Don`t know if they`re available in MU though.,positive
13350,Just got home from Stacey`s lovely wedding,positive
26140,i pulled a muscle in my neck this morning just feels like its getting more sore,negative
8574,work til 9,neutral
13804,"Yay, a live demo of Rhodes. Loving this more and more  #euruko",positive
12133,ahhh bank holiday slept late now going to dinner in my sisters whos a real 'monica'  hahah and im late il get cold dinner now,neutral
8065, - thanks!  it`ll be great    ... and even better as soon as I get that wallet in my grubby little hands!  lol,positive
25542, Pleaseee Give Me A Shoutout  Love Georgia (UK),positive
1916,I`m so down again.  I wish I could share my problems with someone...,negative
7185, Bad rum experience in college - still haven`t recovered,negative
1341,bout to go to work,neutral
10913, my film didn`t come out  the camera was broken. lamesauce.,negative
1759,"**** - Apple store is down for updates... what`s coming, I wonder?",negative
23591, `answers on a postcard`?! What century are you in?,neutral
18827,_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones,positive
22856, i`ll try sort that fabric out for you today...been a busy bee!,neutral
20039,Deucie picked up by his sitter for the weekend.,neutral
19846,if i had one wish it would be for my friend J to not have to work,neutral
24896,missed the #jonaswebcast,neutral
27478, Yay good for both of you. Enjoy the break - you probably need it after such hectic weekend  Take care hun xxxx,positive
4592, argh. Interested. Time maybe can`t go. Maybe.,neutral
19338, CONGRATULATIONS on the test!,positive
18485, thanx for the msg! glad u liked my singing!,positive
25366,Just broke her dresser shes had since she was three,negative
3336,I should be sleep. I have to wake up soooo early,neutral
21615," Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!",neutral
24858,"I`m Twitter dumb. Just saw my '.com' & all the kind folks who`ve tweeted me. AH!So sorry, I`m not ignoring you, just SLOW.",negative
21993,"this is the worst day ever, i`ve been told im a chav",negative
8892," Ahh, your baby is so cute! Happy Mother`s Day!",positive
2124, lmfaaoooo i just watched the Pink video....you know me to well i love it...soooo me lol,positive
16991,got a case of the bubblies.,neutral
24761, u have a lot  but the bad thing is we r gonna have finals all next week,neutral
25235," that is awesome!  spent the day studyin, chillin a lil b4 goin to bed, its slowly gettin colder in Paraguay, winter is comin",positive
13043,i have three hours to do my hair. and it STILL won`t be straight,negative
12162,Weather is back to being great! Shame I have to wait in for my delivery,neutral
1658," Ooh, there you are, haha. Thanks, posted it!",positive
10752," oh yes, i ave never orderd from there, a lil funny at first to do so, i will check it our ta",positive
8905, Where`s the story?! I wanna know! I wanna know!,neutral
15473, I selected 4 people today out of my list. Out of 300 or so I picked the 4 that made me laugh!,neutral
9028, lol. u got AC right? u know it`s getting chill here again...  n its gona rain tmr,neutral
22291, Sent u a few DM`s..Hollaback,neutral
23614, nope im nott! i was planning on doing but my aunties come over from america and we`re havin this big family meal so i cant  ****,negative
12730,backache,negative
19719,running errands with geeta... feeling like i have the plague,negative
8697,_rabbit_ I have been begining to think you are showing signs of becoming a sped haha  Love ya!,positive
23014, Thanks  New work will arrive in a few weeks,positive
12906, it can only get better.,positive
21644,downloading the right/real speedracher now.,neutral
6020,"lol, you can see the sunburnnn    its not achurley that bad =| least i dont think it is xD http://tinyurl.com/njubcl",neutral
15721, I`m sorry...I`ll make sure I do that next time.,negative
11109, shweeeeet!,positive
21965, haha calm down. Youll get ur shades. I`m still sick tho. So I`ll prolly knockout after,negative
6155,wants to cool down,positive
6942,cynthia and jenny are spamming my twitter! haha,neutral
24191," they did,",neutral
12442,  glad your feeling abit better!  I think mine might be nearly gone now xD,positive
8787," oh i wish my dear Michael, i wish",neutral
25556,#hollyoaks .... The curse of justin strikes again.... Date the burton and end up screwed  poor sod,negative
18856,"_Colossus Lol, cheers `mate`. Yeah it went well thanks",positive
3855,"Lovely night, guys. Full moon  thinking about going out onto my roof lol",positive
7701,_Mak request me on bbm & send all ur contact info. Everything didn`t sync up from old phn  I have ur tmail info haha - DATED!,neutral
3120,Yayz! Today`s is the day I call and see if I got that job! x3 I ish so happy... even though I slept horribly... So I`m kinda drained...,neutral
26168,all my worms either escaped or died  bums!,neutral
5820,omg! i didnt even know my friend knew  !!! lol its a small world,neutral
